,Accessible,Adaptive_Swing,Level,Location,Name,Playground_ID,Prop_ID,lat,lon,Zip,tot_inc_num_returns,tot_inc_amnt,avg_inc_by_zip,est_median_inc
249,Y,N,4.0,"N/s Pacific St, Bet Nevins St & 3 Ave",North Pacific Playground,B356,B356,40.6853,-73.9821,11217,19230.0,2412097000.0,125434.0613624545,63290.19607843137
250,Y,Y,2.0,"Sullivan Pl, Franklin Ave, Montgomery St",Jackie Robinson Playground,B357,B357,40.6658,-73.9592,11225,30600.0,1512971000.0,49443.49673202614,37188.40909090909
251,Y,Y,3.0,Harrison Ave Bet Walton & Lorimer Sts,Eugenio Maria De Hostos Playground,B358,B358,40.7027,-73.9493,11206,36490.0,1483562000.0,40656.67306111263,36777.9
252,Y,N,4.0,"Lewis, Dekalb & Stuyvesant Aves, Kosciusko St",Eleanor Roosevelt Playground,B359,B359,40.6928,-73.9355,11221,39520.0,1596673000.0,40401.64473684211,37007.868020304566
253,N,,,"Remsen Ave, Glenwood Rd, E 92 St, Bay View Pl",Remsen Playground,B360,B360,40.6423,-73.9073,11236,47920.0,2094980000.0,43718.280467445744,36657.59587020649
254,Y,N,4.0,"Warren, Smith, Hoyt & Baltic Sts",Boerum Park,B361,B361,40.6847,-73.9903,11201,31970.0,6307963000.0,197308.82076947138,88247.07520891365
255,Y,Y,3.0,"Chester St, Sutter Ave, Bristol St, Pitkin Ave",Chester Playground,B362,B362,40.6688,-73.9119,11212,38370.0,1196980000.0,31195.725827469378,13046.153846153846
256,Y,Y,3.0,"Powell St & Liberty Ave, Sackman St, Glenmore Ave",Houston Playground,B363,B363,40.6722,-73.9051,11212,38370.0,1196980000.0,31195.725827469378,13046.153846153846
257,Y,N,4.0,"Bergen St & Utica Ave, Rochester & St Marks Ave",Woods Playground,B364,B364,40.6745,-73.9289,11213,29300.0,1201558000.0,41008.80546075085,36607.792207792205
258,Y,N,4.0,"E 45-e 46 Sts, Glenwood To Farragut Rds",Chiarantano Fields,B375,B375,40.6358,-73.9331,11203,37760.0,1523041000.0,40334.77224576271,36691.08108108108
259,Y,N,4.0,"Belmont, Sutter, Sheridan & Grant Aves",Robert Venable Park,B380,B380,40.6744,-73.8652,11208,44010.0,1393923000.0,31672.869802317655,13157.492612916843
260,N,,,Broadway Bet Granite & Aberdeen Sts,Thomas Boyland Park,B381,B381,40.6819,-73.9078,11207,43530.0,1458749000.0,33511.34849529061,13157.2318647085
261,Y,N,4.0,Clymer St Bet Wythe And Kent Aves,Jacob's Ladder Playground,B382B,B382B,40.7049,-73.967,11211,30950.0,2360597000.0,76271.3085621971,37920.23809523809
262,N,,,Hopkinson Bet Dean & Pacific Streets,Saratoga Ballfields,B387,B387,40.6753,-73.9143,11233,31980.0,1279701000.0,40015.6660412758,36787.11063372718
263,Y,N,4.0,"Woodruff, Ocean & Crooke Aves",Umma Park,B389,B389,40.6535,-73.9619,11226,52070.0,2099200000.0,40314.96062992126,36529.23976608187
264,Y,N,2.0,President Street Bet Van Brunt & Columbia Streets,Mother Cabrini Park,B390,B390,40.6843,-74.0048,11231,17020.0,2408264000.0,141496.12220916568,63201.30434782609
265,Y,N,2.0,Argyle And Cortelyou Rds,Lt. Federico Narvaez Tot Lot,B391,B391,40.6403,-73.966,11226,52070.0,2099200000.0,40314.96062992126,36529.23976608187
266,Y,N,2.0,"Osborn St, Watkins St, Riverdale",Nehemiah Park,B396,B396,40.6618,-73.9054,11212,38370.0,1196980000.0,31195.725827469378,13046.153846153846
267,Y,N,4.0,"Christopher St, Sutter Av, Belmont Av",Carter G Woodson Childrens Park,B397,B397,40.6685,-73.9058,11212,38370.0,1196980000.0,31195.725827469378,13046.153846153846
268,Y,N,4.0,"Wyona St, Vermont St, Fulton St, Jamaica Ave, Arln",Wyona Street Playground,B402,B402,40.6786,-73.8951,11207,43530.0,1458749000.0,33511.34849529061,13157.2318647085
269,Y,N,4.0,E.94th St B/w E. New York Ave & Rutland Road,East Flatbush Children's Park,B404,B404,40.6633,-73.9269,11212,38370.0,1196980000.0,31195.725827469378,13046.153846153846
270,Y,N,4.0,"Berry St, S. 9th St, S. 10th St",Epiphany Playground,B405,B405,40.7085,-73.9656,11211,30950.0,2360597000.0,76271.3085621971,37920.23809523809
271,Y,N,4.0,"South Oxford St, Cumberland St, Atlantic Ave",South Oxford Park,B407,B407,40.6836,-73.9724,11217,19230.0,2412097000.0,125434.0613624545,63290.19607843137
272,Y,N,4.0,Lewis Avenue & Willoughby Av,Lewis Playground,B430,B430,40.6954,-73.9379,11206,36490.0,1483562000.0,40656.67306111263,36777.9
273,Y,N,4.0,"Convent & Amsterdam Aves, W 135 St",Annunciation Park,M003,M003,40.8183,-73.9521,10031,29340.0,1227413000.0,41834.11724608044,36862.342569269524
274,Y,N,4.0,STATE & SOUTH STS,The Battery,M005-02,M005,40.7018,-74.0144,10004,2480.0,830828000.0,335011.29032258067,148632.6923076923
275,Y,N,4.0,"Ft Washington Ave, W 183 St, Pinehurst Ave",Bennett Park,M009,M009,40.8528,-73.9381,10033,26930.0,1228661000.0,45624.2480505013,36752.88753799392
276,Y,Y,2.0,"62 ST, BET WEST & CENTER DRS",Heckscher Playground,M010-031,M010,40.7686,-73.9774,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
277,Y,N,4.0,67 ST & 5TH AVE,Billy Johnson Playground,M010-048,M010,40.7695,-73.9698,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
278,Y,Y,2.0,72 ST & EAST GREEN,East 72nd St Playground,M010-059,M010,40.7721,-73.9678,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
279,Y,N,3.0,68th Street and Central Park West,Adventure Playground,M010-089,M010,40.7733,-73.9775,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
280,N,,,68 ST & CENTRAL PARK WEST,West 68th St Playground,M010-090,M010,40.7733,-73.977,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
281,Y,Y,3.0,"77 ST, W/O 5TH AVE",James Michael Levin Playground,M010-103,M010,40.7758,-73.9652,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
282,N,,,79 ST & 5 AV,Ruth and Arthur Smadbeck-Heckscher East Playground,M010-143,M010,40.7776,-73.964,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
283,Y,Y,1.0,85th Street and Fifth Avenue,Ancient Playground,M010-145,M010,40.7808,-73.9617,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
284,N,,,"84 ST, W/O EAST DRIVE",Great Lawn Playground,M010-151,M010,40.7825,-73.9644,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
285,Y,N,4.0,81 ST & CENTRAL PK WEST,Diana Ross Playground,M010-164,M010,40.7823,-73.971,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
286,Y,N,4.0,84 ST & CENTRAL PARK WEST,Toll Family Playground,M010-167,M010,40.784,-73.9697,10023,34070.0,11936570000.0,350354.2706193132,144775.16425755585
